startip,endip,country,carrier
18448384,18450431,内蒙古乌兰察布市,联通
18450432,18454527,内蒙古呼和浩特市,联通
18454528,18458879,内蒙古锡林郭勒盟,联通
18458880,18459135,内蒙古锡林郭勒盟苏尼特右旗,联通
18459136,18460159,内蒙古锡林郭勒盟,联通
18460160,18460415,内蒙古锡林郭勒盟正镶白旗,联通
18460416,18461951,内蒙古锡林郭勒盟,联通
18461952,18462207,内蒙古锡林郭勒盟苏尼特右旗,联通
18462208,18466815,内蒙古锡林郭勒盟,联通
18466816,18473983,内蒙古包头市,联通
18473984,18475263,内蒙古巴彦淖尔市,联通
18475264,18475519,内蒙古巴彦淖尔市五原县,联通
18475520,18479615,内蒙古巴彦淖尔市,联通
18479616,18479871,内蒙古巴彦淖尔市乌拉特中旗,联通
18479872,18480383,内蒙古巴彦淖尔市,联通
18480384,18480639,内蒙古巴彦淖尔市五原县,联通
18480640,18481151,内蒙古巴彦淖尔市,联通
18481152,18488575,内蒙古呼伦贝尔市,联通
18488576,18488831,内蒙古呼伦贝尔市满洲里市,联通
18488832,18489087,内蒙古呼伦贝尔市,联通
18489088,18489343,内蒙古呼伦贝尔市满洲里市,联通
18489344,18505727,内蒙古,联通
18505728,18511871,内蒙古赤峰市,联通
18511872,18512127,内蒙古赤峰市巴林左旗,联通林东镇新城区BRAS数据机房
18512128,18512895,内蒙古赤峰市,联通
18512896,18512896,内蒙古赤峰市巴林左旗,联通林东镇新城区BRAS数据机房
18512897,18512897,内蒙古赤峰市,联通ADSL-BRAS网关
18512898,18513151,内蒙古赤峰市巴林左旗,联通林东镇新城区BRAS数据机房
18513152,18513663,内蒙古赤峰市,联通
18513664,18513919,内蒙古赤峰市敖汉旗,联通
18513920,18530303,内蒙古赤峰市,联通
18530304,18530559,内蒙古赤峰市翁牛特旗,联通
18530560,18530815,内蒙古赤峰市阿鲁科尔沁旗,联通
18530816,18531327,内蒙古赤峰市,联通
18531328,18531583,内蒙古呼伦贝尔市鄂温克旗,联通
18531584,18532095,内蒙古呼伦贝尔市,联通
18532096,18532351,内蒙古呼伦贝尔市鄂温克旗,联通
18532352,18533119,内蒙古呼伦贝尔市,联通
18533120,18533375,内蒙古呼伦贝尔市鄂温克旗,联通
18533376,18534399,内蒙古呼伦贝尔市,联通
18534400,18535167,内蒙古兴安盟,联通
18535168,18535423,内蒙古兴安盟阿尔山市,联通
18535424,18536447,内蒙古,联通
18536448,18537471,内蒙古呼伦贝尔市,联通
